2009-02-10 12:12:19 remove gimp-painter 2.6.4 2.6.4
2009-02-10 12:12:19 status half-configured gimp-painter 2.6.4
2009-02-10 12:12:19 status half-installed gimp-painter 2.6.4
2009-02-10 12:12:20 status triggers-pending man-db 2.5.2-2
2009-02-10 12:12:20 status half-installed gimp-painter 2.6.4
2009-02-10 12:12:23 status config-files gimp-painter 2.6.4
2009-02-10 12:12:23 status config-files gimp-painter 2.6.4
2009-02-10 12:12:23 status config-files gimp-painter 2.6.4
2009-02-10 12:12:23 status config-files gimp-painter 2.6.4
2009-02-10 12:12:23 status config-files gimp-painter 2.6.4
2009-02-10 12:12:23 status not-installed gimp-painter <none>
2009-02-10 12:12:23 trigproc man-db 2.5.2-2 2.5.2-2
2009-02-10 12:12:23 status half-configured man-db 2.5.2-2
2009-02-10 12:12:24 status installed man-db 2.5.2-2
2009-02-10 12:12:49 startup packages remove
2009-02-10 12:12:49 status installed gimp 2.4.6-1
2009-02-10 12:12:56 startup packages remove
2009-02-10 12:12:56 status installed gimp-gap 2.4.0-2
2009-02-10 12:12:56 remove gimp-gap 2.4.0-2 2.4.0-2
2009-02-10 12:12:56 status half-configured gimp-gap 2.4.0-2
2009-02-10 12:12:56 status half-installed gimp-gap 2.4.0-2
2009-02-10 12:12:56 status config-files gimp-gap 2.4.0-2
2009-02-10 12:12:56 status config-files gimp-gap 2.4.0-2
2009-02-10 12:12:56 status config-files gimp-gap 2.4.0-2
2009-02-10 12:12:56 status not-installed gimp-gap <none>
2009-02-10 12:13:00 startup packages remove
2009-02-10 12:13:00 status installed gimp 2.4.6-1
2009-02-10 12:13:00 remove gimp 2.4.6-1 2.4.6-1
2009-02-10 12:13:00 status half-configured gimp 2.4.6-1
2009-02-10 12:13:00 status half-installed gimp 2.4.6-1
2009-02-10 12:13:00 status triggers-pending man-db 2.5.2-2
2009-02-10 12:13:00 status half-installed gimp 2.4.6-1
2009-02-10 12:13:00 status triggers-pending menu 2.1.40
2009-02-10 12:13:00 status half-installed gimp 2.4.6-1
2009-02-10 12:13:01 status triggers-awaited menu 2.1.40
2009-02-10 12:13:01 status config-files gimp 2.4.6-1
2009-02-10 12:13:01 status config-files gimp 2.4.6-1
2009-02-10 12:13:01 trigproc man-db 2.5.2-2 2.5.2-2
2009-02-10 12:13:01 status half-configured man-db 2.5.2-2
2009-02-10 12:13:01 status installed man-db 2.5.2-2
2009-02-10 12:13:01 trigproc menu 2.1.40 2.1.40
2009-02-10 12:13:01 status half-configured menu 2.1.40
2009-02-10 12:13:02 status installed menu 2.1.40
2009-02-10 12:15:32 startup packages remove
2009-02-10 12:15:32 status installed gimp-data 2.4.6-1
2009-02-10 12:15:32 remove gimp-data 2.4.6-1 2.4.6-1
2009-02-10 12:15:32 status half-configured gimp-data 2.4.6-1
2009-02-10 12:15:32 status half-installed gimp-data 2.4.6-1
2009-02-10 12:15:32 status triggers-pending man-db 2.5.2-2
2009-02-10 12:15:32 status half-installed gimp-data 2.4.6-1
2009-02-10 12:15:32 status config-files gimp-data 2.4.6-1
2009-02-10 12:15:32 status config-files gimp-data 2.4.6-1
2009-02-10 12:15:32 trigproc man-db 2.5.2-2 2.5.2-2
2009-02-10 12:15:32 status half-configured man-db 2.5.2-2
2009-02-10 12:15:32 status installed man-db 2.5.2-2
2009-02-10 12:15:43 startup packages remove
2009-02-10 12:15:43 status installed libgimp2.0 2.4.6-1
2009-02-10 12:15:43 remove libgimp2.0 2.4.6-1 2.4.6-1
2009-02-10 12:15:43 status half-configured libgimp2.0 2.4.6-1
2009-02-10 12:15:43 status half-installed libgimp2.0 2.4.6-1
2009-02-10 12:15:43 status config-files libgimp2.0 2.4.6-1
2009-02-10 12:15:43 status config-files libgimp2.0 2.4.6-1
2009-02-10 12:16:58 startup packages remove
2009-02-10 12:17:11 startup packages remove
2009-02-10 12:17:18 startup packages purge
2009-02-10 12:17:25 startup packages purge
2009-02-10 12:17:25 status config-files gimp 2.4.6-1
2009-02-10 12:17:25 remove gimp 2.4.6-1 2.4.6-1
2009-02-10 12:17:25 purge gimp 2.4.6-1 2.4.6-1
2009-02-10 12:17:25 status config-files gimp 2.4.6-1
2009-02-10 12:17:25 status config-files gimp 2.4.6-1
2009-02-10 12:17:25 status config-files gimp 2.4.6-1
2009-02-10 12:17:25 status triggers-pending menu 2.1.40
2009-02-10 12:17:25 status triggers-awaited menu 2.1.40
2009-02-10 12:17:25 status config-files gimp 2.4.6-1
2009-02-10 12:17:25 status config-files gimp 2.4.6-1
2009-02-10 12:17:25 status not-installed gimp <none>
2009-02-10 12:17:25 trigproc menu 2.1.40 2.1.40
2009-02-10 12:17:25 status half-configured menu 2.1.40
2009-02-10 12:17:25 status installed menu 2.1.40
2009-02-10 12:17:33 startup packages purge
